"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.747827910761457,2.58434032755688,0.00206611570247934,0.00523669878508588,0.00187418693360968,2747,"tags=72%, list=14%, signal=62%","5347/54663/3177/80324/9136/705/56915/6723/4174/1844/81887/6573/4173/23223/79050/10514/10528/1019/4609/56342/6949/51154/23481/10733/79711/5245/4839/6652/9238/51491/27346/2193/92856/10196/5036/10244/83743/7965/23082/3329/10171/3336"
"DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",150,0.529814627349158,2.12707343047002,0.00225733634311512,0.00523669878508588,0.00187418693360968,4172,"tags=50%, list=22%, signal=39%","29901/51497/4830/100/2237/5983/11047/155382/8480/5888/5424/5984/286075/10189/5438/4059/6895/5982/23649/30834/9533/6881/5437/5436/3978/7936/6621/5557/11130/6749/3704/8086/10978/9328/5111/6119/6827/30833/9013/10134/353/7298/64976/2068/65109/8237/7372/5985/4833/2879/5439/5422/51082/978/27343/6878/6431/25920/1687/5433/5434/10302/1854/5423/22916/1716/56655/2071/51160/4832/3615/54487/6829/2987/5432"
"G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,0.582298718853682,2.41699876076244,0.0022883295194508,0.00523669878508588,0.00187418693360968,2528,"tags=44%, list=13%, signal=38%","4605/11065/9212/1869/8140/8318/332/4171/10024/10293/990/3159/22974/6839/5347/8438/27338/51659/991/23594/9700/6790/993/1058/994/1841/899/4174/7272/1163/24137/11004/3619/9156/4751/9493/1111/5933/10721/23649/10036/10212/3835/1019/4609/699/9232/9133/4172/1164/10460/1736/3149/9055/4953/2146/10733/7153/5558/4085/6713/1033/56992/7290/26271/10403/5426/4678/10926/1870/6632/3838/1874/1063/675/3980/29127/7027/983/51203/1871/890/4175/11044/8317"
"E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",198,0.697286010098075,2.8930775914266,0.00229357798165138,0.00523669878508588,0.00187418693360968,3687,"tags=65%, list=19%, signal=53%","4605/898/9212/146909/1029/332/4171/7083/79019/9319/9837/79075/3159/6839/4830/5347/4176/83461/27338/991/23594/9700/10535/6790/993/5983/994/5424/10615/6628/29893/4174/701/1163/5902/24137/11004/147841/11200/4173/8914/1111/5425/5982/672/55723/23649/9833/197335/29028/10212/10528/3835/29089/1019/4609/57405/7283/9232/9133/11340/4172/3978/79733/10248/1164/10460/3149/2146/84296/10733/1434/7153/64785/83463/6749/5558/4085/3070/1033/57122/5111/55646/6119/5426/81624/6241/4678/55143/9238/54962/3838/84844/6941/10635/675/5036/8726/29127/983/4361/84316/4175/9918/5889/1786/7037/4288/5810/203068/9787/1503/4436/253714/3184/10549/3925/1854/10797/3148/6470/11113/5631/56655/5901/9924/5931/9125/55635"
"MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",198,0.365416999911173,1.5161350129779,0.00229357798165138,0.00523669878508588,0.00187418693360968,3811,"tags=35%, list=20%, signal=29%","57761/8140/4171/3145/5347/7108/26227/6790/993/6513/1717/9136/26747/899/10452/6510/2542/5723/23753/29968/3992/4173/2539/9415/10212/10682/699/7283/10963/6319/8624/4793/2717/6713/8894/2232/516/6241/6652/6472/10437/27346/871/908/2023/5719/9368/10061/10213/9521/10622/7037/3329/5693/3336/5704/11333/81873/56902/7167/586/10797/6509/5478/6715/8833/1649/4836/1595/10197"
"MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",196,0.576706793503376,2.39360626987675,0.00230414746543779,0.00523669878508588,0.00187418693360968,5401,"tags=61%, list=28%, signal=44%","8318/4171/4830/4176/991/6150/9136/5984/6723/2091/4174/5902/10856/5691/4173/5688/5425/10528/1537/1019/4609/1478/8662/4953/5709/10155/51690/6188/4085/8894/6626/5245/5111/790/10574/5496/6632/3838/51020/6627/1017/51491/57819/7298/5036/708/23016/6633/6187/7027/3326/28973/7965/890/22948/1207/4175/10576/10213/6742/3068/6204/26121/6193/3329/6141/3066/7284/3336/5704/10907/6637/1503/3184/1973/10549/1854/23450/22916/26354/65005/5901/5478/8664/6629/7203/328/6950/10921/6634/6175/5682/3615/11260/6432/6240/3608/3939/55651/10575/5687/26986/3251/52/11331/6434/5093/5714/10054/8886/10987/6427/5685/9221/4999/7531/5683/3475/6741/9184"
"BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",112,-0.433761082269836,-1.62259452268492,0.00353356890459364,0.0076816715317253,0.00274922981135432,2968,"tags=34%, list=16%, signal=29%","1734/50640/64241/9420/2053/51703/83752/54677/10133/367/223/23461/23460/6310/8856/8800/10350/654/3295/29842/9971/2180/51170/847/9023/5825/8412/83594/19/5264/54884/51302/216/6342/10351/4306/21/27284"
"APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",200,-0.363837543958945,-1.45581992266014,0.00889679715302491,0.0179372197309417,0.0064196365352844,2718,"tags=28%, list=14%, signal=25%","1500/5522/87/64398/7082/3691/6251/6237/54413/1956/1272/9073/55742/7412/1495/2200/2533/3033/30835/8976/4478/5728/10000/10205/83700/5175/8174/7450/5097/9672/8503/10487/5921/23114/1384/3673/9459/3688/7414/9353/7045/2037/8935/3918/91624/5788/2770/57863/257194/3909/2318/72/8754/25945/51474/1308/51208"
"UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",110,0.378967152663243,1.46339746387305,0.00896860986547085,0.0179372197309417,0.0064196365352844,3464,"tags=31%, list=18%, signal=25%","8140/8614/54512/79094/1051/9136/56915/1163/1978/29968/55738/10528/7422/8815/1736/3484/10897/23404/9775/1662/10775/25804/7709/9797/51013/30827/50628/10113/2521/1973/8570/10797/6509/55272"
"COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",138,-0.370416099770037,-1.42252661878565,0.0106194690265487,0.0197355437142293,0.00706324722403997,1995,"tags=28%, list=10%, signal=25%","5627/2151/9615/716/4035/2200/3690/8609/5028/301/378/7044/10411/5175/1848/7450/2157/3426/733/10404/1191/5265/2934/3673/824/1465/3075/726/1675/2/283/2152/55970/8754/4224/1519/3158/1510"
"APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",159,-0.37606622091781,-1.47401521799426,0.0106571936056838,0.0197355437142293,0.00706324722403997,3576,"tags=38%, list=19%, signal=31%","2107/5663/1491/2643/51176/3606/3315/552/6709/3553/467/3459/914/8837/3552/1647/599/9890/331/7077/836/1540/2936/118/7042/665/2012/301/4060/6093/834/2149/894/3958/960/6304/4170/1191/1806/3082/857/27250/1960/840/2934/8915/1634/388/969/6041/1026/54884/650/8743/351/7049/7832/355/4739/10628"
"INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",200,-0.352470811773929,-1.41033831845176,0.0142348754448399,0.025419420437214,0.00909747678805555,2286,"tags=23%, list=12%, signal=20%","6869/4233/5099/9966/23095/962/1536/3460/1236/3696/3690/8809/10203/490/255488/4084/3738/3091/3554/6402/1839/5142/1902/5996/7096/3454/19/3575/1880/969/1316/1026/2719/8743/7832/2152/1604/9153/4224/196/7098/5732/166929/7432/5734/8671"
"PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",40,-0.487014583598523,-1.54399721968055,0.0218181818181818,0.0376175548589342,0.0134631248968817,3579,"tags=35%, list=19%, signal=28%","4005/2308/5063/50674/6726/10590/5122/10000/6812/57586/2641/3670/1113/6750"
"COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",200,-0.338067882047735,-1.35270800407598,0.0231316725978648,0.0385527876631079,0.0137978397952176,3988,"tags=34%, list=21%, signal=28%","308/2811/3796/337/3001/5663/10125/3920/715/5290/11216/9101/3988/51056/6047/10600/5641/9806/59345/23414/1378/2764/7077/836/716/2820/868/9732/8445/3660/4179/55619/4035/959/838/54331/1848/834/2157/725/966/801/3958/10404/5516/1191/5265/840/3003/4057/3717/1465/3075/5294/948/1368/6935/1380/64167/283/1520/2152/2153/1604/8754/3816/5321/1519/760"
