"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001968","GO:0001968","fibronectin binding","9/685","27/17697",4.63552481192043e-07,2.98554500749355e-05,2.51329264216037e-05,"FSTL3/SFRP2/FBLN1/SSC5D/CCDC80/MYOC/IGFBP6/IGFBP5/CCN2",9
"GO:0001664","GO:0001664","G protein-coupled receptor binding","30/685","280/17697",4.84797565492863e-07,2.98554500749355e-05,2.51329264216037e-05,"MRAP2/CCL28/C10orf99/FLNA/UCHL1/CXCL14/MARCO/C3/PPP1R1B/CCL21/DEFB1/TFF2/SAA1/GAL/PPBP/REEP2/GNAO1/WNT9A/RNF43/ROR2/SFRP1/PALM/RSPO3/MYOC/CCL20/CXCL12/CCL19/CXCL3/CCL5/CTHRC1",30
"GO:0051015","GO:0051015","actin filament binding","24/685","198/17697",7.48344933440966e-07,4.25405312163749e-05,3.58114862885515e-05,"PLS1/POF1B/IQGAP2/FLNA/OBSL1/FSCN1/TPM2/MYO1A/TAGLN/MYH11/TMOD1/TLN1/ACTN1/ABLIM3/CFL2/DBN1/FERMT2/NEXN/SVIL/ANXA6/MYH10/VIL1/ANTXR1/TNNC2",24
"GO:0048407","GO:0048407","platelet-derived growth factor binding","6/685","11/17697",1.28729868385284e-06,6.7950980526232e-05,5.72025204629345e-05,"COL6A1/COL1A1/PDGFRB/COL5A1/COL3A1/COL1A2",6
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","14/685","79/17697",1.79653756037969e-06,8.85094171413726e-05,7.45090314515365e-05,"SOSTDC1/FGFR1/NRP2/LTBP4/ROR2/DDR2/AXL/TGFBR3/PDGFRL/PDGFRB/EFEMP1/CSF1R/LTBP1/FGFR3",14
"GO:0004745","GO:0004745","retinol dehydrogenase activity","7/685","20/17697",6.29690506790521e-06,0.000290838302823872,0.000244833611521841,"ADH6/ADH4/ADH1C/DHRS9/AKR1C3/ADH1B/SDR16C5",7
"GO:0042379","GO:0042379","chemokine receptor binding","12/685","66/17697",7.42632886750039e-06,0.000322826884298988,0.000271762251436083,"CCL28/C10orf99/CXCL14/CCL21/DEFB1/TFF2/PPBP/CCL20/CXCL12/CCL19/CXCL3/CCL5",12
"GO:0042805","GO:0042805","actinin binding","10/685","46/17697",8.15041968334795e-06,0.000334620008110785,0.000281689943442026,"PPARG/PDLIM4/OBSL1/SYNPO2/PDLIM7/LDB3/CSRP1/PDLIM3/PALLD/CACNA1C",10
"GO:0051393","GO:0051393","alpha-actinin binding","9/685","37/17697",8.6935282589883e-06,0.000338132493862755,0.000284646825543606,"PPARG/PDLIM4/OBSL1/SYNPO2/PDLIM7/LDB3/PDLIM3/PALLD/CACNA1C",9
"GO:0050840","GO:0050840","extracellular matrix binding","11/685","57/17697",9.80039496316742e-06,0.000362124593889036,0.000304843864380629,"LGALS1/BGN/FBLN2/SPOCK1/COL11A1/SPP1/SSC5D/SPARCL1/SLIT2/DCN/ELN",11
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","7/685","22/17697",1.29459493167519e-05,0.000455574121194268,0.000383511581263175,"BGN/PRELP/OGN/PODN/HSPG2/DCN/ASPN",7
"GO:0061134","GO:0061134","peptidase regulator activity","23/685","219/17697",1.4368755823292e-05,0.000475399256187562,0.0004002007839995,"SPINK1/SERPING1/SFRP2/FN1/SPOCK1/SPINK4/FBLN1/C3/PCSK1N/DPEP1/CAV1/CD109/PI16/TIMP2/SERPINF1/TIMP3/VIL1/A2M/COL6A3/PCOLCE/BST2/SERPINE1/PI3",23
"GO:0008009","GO:0008009","chemokine activity","10/685","49/17697",1.4795917310303e-05,0.000475399256187562,0.0004002007839995,"CCL28/C10orf99/CXCL14/CCL21/PPBP/CCL20/CXCL12/CCL19/CXCL3/CCL5",10
"GO:0051371","GO:0051371","muscle alpha-actinin binding","7/685","23/17697",1.79906231024015e-05,0.00055396126969478,0.00046633588831225,"PDLIM4/OBSL1/SYNPO2/PDLIM7/LDB3/PDLIM3/PALLD",7
"GO:0038024","GO:0038024","cargo receptor activity","13/685","85/17697",2.21318618757375e-05,0.0006542178370468,0.000550733910255194,"TINAG/ENPP3/MARCO/DMBT1/SSC5D/COLEC12/ITGAM/SCARA3/TMPRSS13/ITGB2/FOLR2/CD163/FOLR1",13
"GO:0050839","GO:0050839","cell adhesion molecule binding","39/685","499/17697",2.6474217187421e-05,0.000752478711596313,0.000633451917318455,"TSPAN8/NLGN2/ITGB6/OLFM4/ITGA5/FLNA/FSCN1/CDH17/PTPRD/S100P/COMP/SFRP2/CDHR2/FN1/CDHR5/THBS4/SPP1/LAMB2/TLN1/ACTN1/JAM3/TNXB/TSPAN4/LTBP4/FBLN5/S1PR3/DBN1/EMILIN1/VWF/TIMP2/CALD1/FBN1/CXCL12/CCN2/COL5A1/ITGB2/COL3A1/PTPRO/GPNMB",39
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity","5/685","11/17697",3.25728598964259e-05,0.000891531239387361,0.000750509169543381,"FBLN2/FBLN5/EMILIN1/FBN1/ELN",5
"GO:0005125","GO:0005125","cytokine activity","22/685","220/17697",4.66299299830998e-05,0.00123069708062539,0.00103602588797038,"FAM3D/TGFB1/CCL28/C10orf99/IL33/LEFTY1/CXCL14/SPP1/CCL21/PPBP/TGFB3/GREM1/CCL20/CXCL12/CTF1/CCL19/SCG2/AREG/SECTM1/CXCL3/FAM3B/CCL5",22
"GO:0043394","GO:0043394","proteoglycan binding","8/685","36/17697",5.59199052531019e-05,0.00142499344765663,0.00119958853011191,"APOE/COMP/TNC/FN1/PTPRS/SLIT2/COL5A1/GPNMB",8
"GO:0017147","GO:0017147","Wnt-protein binding","8/685","37/17697",6.89478713204436e-05,0.00169841589686026,0.00142976112106604,"SFRP2/SFRP4/ROR2/SFRP1/AXL/TRABD2A/PTPRO/CTHRC1",8
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","10/685","62/17697",0.000123061946007495,0.00293363800321093,0.0024695962679263,"FGFR1/NRP2/ROR2/DDR2/AXL/PDGFRL/PDGFRB/EFEMP1/CSF1R/FGFR3",10
"GO:0005044","GO:0005044","scavenger receptor activity","9/685","51/17697",0.000131017332270617,0.00302568151712455,0.00254708037407679,"TINAG/ENPP3/MARCO/DMBT1/SSC5D/COLEC12/SCARA3/TMPRSS13/CD163",9
"GO:0050431","GO:0050431","transforming growth factor beta binding","6/685","22/17697",0.000144263488582376,0.00323062782007199,0.00271960834935196,"LTBP3/LTBP4/TGFB3/CD109/TGFBR3/LTBP1",6
"GO:0008242","GO:0008242","omega peptidase activity","5/685","15/17697",0.00018604319876092,0.00404370364365647,0.0034040721507029,"GGT6/UCHL1/GGT5/GGH/GGT1",5
"GO:0008083","GO:0008083","growth factor activity","17/685","163/17697",0.000199702421620512,0.00421657398793025,0.00354959793015708,"TGFB1/CLEC11A/TYMP/TFF1/VGF/LEFTY1/TDGF1/THBS4/OGN/PPBP/TGFB3/FGF7/EFEMP1/CXCL12/CCN2/AREG/EREG",17
"GO:0030414","GO:0030414","peptidase inhibitor activity","18/685","182/17697",0.000255401905848295,0.00510113536275378,0.00429423972564274,"SPINK1/SERPING1/SPOCK1/SPINK4/C3/PCSK1N/DPEP1/CD109/PI16/TIMP2/SERPINF1/TIMP3/VIL1/A2M/COL6A3/BST2/SERPINE1/PI3",18
"GO:0061135","GO:0061135","endopeptidase regulator activity","18/685","182/17697",0.000255401905848295,0.00510113536275378,0.00429423972564274,"SPINK1/SERPING1/SFRP2/SPOCK1/SPINK4/C3/PCSK1N/DPEP1/CD109/TIMP2/SERPINF1/TIMP3/VIL1/A2M/COL6A3/BST2/SERPINE1/PI3",18
"GO:0008307","GO:0008307","structural constituent of muscle","8/685","46/17697",0.000342812092133657,0.00666679305491507,0.00561224228396098,"OBSL1/TPM2/MYL9/MYH11/SYNM/CSRP1/PDLIM3/NEXN",8
"GO:0019955","GO:0019955","cytokine binding","14/685","128/17697",0.00043937149692342,0.00832552656990788,0.00700859796711852,"LTBP3/SOSTDC1/COMP/NRP2/LTBP4/TGFB3/ACKR1/CD109/GREM1/CXCR4/TGFBR3/CSF1R/A2M/LTBP1",14
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","17/685","175/17697",0.000462465424215781,0.00854404871238655,0.00719255436082964,"SPINK1/SERPING1/SPOCK1/SPINK4/C3/PCSK1N/DPEP1/CD109/TIMP2/SERPINF1/TIMP3/VIL1/A2M/COL6A3/BST2/SERPINE1/PI3",17
"GO:0016755","GO:0016755","transferase activity, transferring amino-acyl groups","5/685","18/17697",0.000481909283047605,0.00868612097980927,0.00731215369142836,"GGT6/QPCT/GGT5/F13A1/GGT1",5
"GO:0072341","GO:0072341","modified amino acid binding","11/685","89/17697",0.000632657835291656,0.0111317652447746,0.00937094688364333,"DPEP1/TLN1/JPH2/SYT11/AXL/CAVIN2/ANXA6/MGST1/GPR143/FOLR2/FOLR1",11
"GO:0005109","GO:0005109","frizzled binding","7/685","39/17697",0.000658613085856565,0.0113189551266977,0.00952852714176817,"WNT9A/RNF43/ROR2/SFRP1/RSPO3/MYOC/CTHRC1",7
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","11/685","94/17697",0.00100501774011358,0.016879729771453,0.0142097005839025,"SPINK1/SERPING1/SPOCK1/SPINK4/PCSK1N/CD109/SERPINF1/A2M/COL6A3/SERPINE1/PI3",11
"GO:0016712","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","6/685","32/17697",0.00126016136255487,0.0206946499317344,0.017421178134969,"CYP2C18/CYP3A5/CYP2B6/CYP1B1/CYP2J2/CYP2W1",6
"GO:0005154","GO:0005154","epidermal growth factor receptor binding","6/685","33/17697",0.00149047636683224,0.0234353624487026,0.0197283657961445,"VAV3/ITGA5/AGR2/EFEMP1/AREG/EREG",6
"GO:0015020","GO:0015020","glucuronosyltransferase activity","6/685","33/17697",0.00149047636683224,0.0234353624487026,0.0197283657961445,"UGT1A10/UGT2A3/UGT2B7/UGT2B15/UGT2B17/LARGE2",6
"GO:0004857","GO:0004857","enzyme inhibitor activity","27/685","375/17697",0.00153221129953757,0.0235896697991305,0.0198582648690067,"IQGAP2/PPP1R14D/SPINK1/SERPING1/SPOCK1/SPINK4/C3/PPP1R1B/PCSK1N/DPEP1/ATP2B4/SLIT2/PLN/PPP1R12B/CD109/PI16/TIMP2/SERPINF1/TIMP3/PPP1R14C/VIL1/A2M/COL6A3/PPP1R14A/BST2/SERPINE1/PI3",27
"GO:0016209","GO:0016209","antioxidant activity","10/685","86/17697",0.0017658286308366,0.0266315787385357,0.0224190058179255,"NXN/IYD/FABP1/DUOX2/APOE/GSTA1/MGST1/GPX2/GPX3/SOD3",10
"GO:0005523","GO:0005523","tropomyosin binding","4/685","15/17697",0.00215879228007357,0.03128132343087,0.0263332556764392,"TNNT1/TMOD1/LMOD1/CALD1",4
"GO:0070492","GO:0070492","oligosaccharide binding","4/685","15/17697",0.00215879228007357,0.03128132343087,0.0263332556764392,"LGALS1/ITLN1/REG3A/SELP",4
"GO:0008191","GO:0008191","metalloendopeptidase inhibitor activity","4/685","16/17697",0.0027910493236093,0.0389167066065524,0.032760876866993,"SPOCK1/TIMP2/TIMP3/BST2",4
"GO:0008392","GO:0008392","arachidonic acid epoxygenase activity","4/685","16/17697",0.0027910493236093,0.0389167066065524,0.032760876866993,"CYP2C18/CYP2B6/CYP2J2/CYP4F2",4
"GO:0001540","GO:0001540","amyloid-beta binding","9/685","78/17697",0.00311272016246719,0.0423811536749675,0.0356773190255763,"APOE/MARCO/BCHE/CRYAB/NGFR/HSPG2/ITGAM/CLU/ITGB2",9
"GO:0008395","GO:0008395","steroid hydroxylase activity","6/685","38/17697",0.00315421306105983,0.0423811536749675,0.0356773190255763,"CYP2C18/CYP3A5/CYP2B6/CYP1B1/CYP2J2/CYP2W1",6
"GO:0004198","GO:0004198","calcium-dependent cysteine-type endopeptidase activity","4/685","17/17697",0.00353924019273748,0.0450948017660861,0.0379617233014128,"CAPN9/CAPN8/CAPN6/CAPN13",4
"GO:0004675","GO:0004675","transmembrane receptor protein serine/threonine kinase activity","4/685","17/17697",0.00353924019273748,0.0450948017660861,0.0379617233014128,"SOSTDC1/LTBP4/TGFBR3/LTBP1",4
"GO:0008391","GO:0008391","arachidonic acid monooxygenase activity","4/685","17/17697",0.00353924019273748,0.0450948017660861,0.0379617233014128,"CYP2C18/CYP2B6/CYP2J2/CYP4F2",4
