"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030199","GO:0030199","collagen fibril organization","16/697","54/18670",6.74371689343992e-11,2.87711485281032e-08,2.37159421850638e-08,"COL1A1/AEBP1/COMP/ADAMTS2/SFRP2/COL11A1/TNXB/CYP1B1/DDR2/EMILIN1/COL14A1/GREM1/COL5A1/DPT/COL3A1/COL1A2",16
"GO:0002062","GO:0002062","chondrocyte differentiation","23/697","123/18670",1.50249473961536e-10,5.87600651084576e-08,4.8435685684969e-08,"LTBP3/TGFB1/COL6A2/COL6A1/SMPD3/COMP/SFRP2/IHH/SULF1/COL11A1/MATN2/FGFR1/WNT9A/ANXA6/COL14A1/GREM1/SCARA3/AXIN2/EFEMP1/CCN2/COL6A3/FGFR3/SIX2",23
"GO:0048705","GO:0048705","skeletal system morphogenesis","32/697","239/18670",3.79745848687166e-10,1.37088251376067e-07,1.13001295054683e-07,"LTBP3/TGFB1/COL6A2/COL6A1/SMPD3/COL1A1/COMP/SFRP2/IHH/SFRP4/COL11A1/CDX1/MATN2/FGFR1/WNT9A/ROR2/SFRP1/TGFB3/ZEB1/MGP/ANXA6/COL14A1/SATB2/GREM1/SCARA3/AXIN2/CCN2/COL6A3/FGFR3/PRRX1/MMP2/SIX2",32
"GO:0085029","GO:0085029","extracellular matrix assembly","11/697","28/18670",2.18289236011619e-09,7.31736703287519e-07,6.03167625821578e-07,"TGFB1/SMPD3/IHH/MYH11/TNXB/FBLN5/EMILIN1/EFEMP2/MFAP4/COL1A2/ANTXR1",11
"GO:0090288","GO:0090288","negative regulation of cellular response to growth factor stimulus","24/697","166/18670",1.3219908375015e-08,4.13606866692969e-06,3.40934479145123e-06,"PBLD/FSTL3/TGFB1/XDH/SOSTDC1/RBPMS2/SFRP2/HTRA3/SULF1/TGFB1I1/CHRDL1/SFRP1/SLIT2/TGFB3/ADGRA2/EMILIN1/CAV1/CD109/GREM1/TGFBR3/FBN1/LTBP1/DCN/ASPN",24
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","33/697","292/18670",1.5626482914279e-08,4.58344276979446e-06,3.77811346776154e-06,"PBLD/FSTL3/TGFB1/XDH/FAM20C/ITGA5/SOSTDC1/RBPMS2/SFRP2/HTRA3/SULF1/SFRP4/FGFR1/TGFB1I1/CHRDL1/LTBP4/SFRP1/SLIT2/TGFB3/ADGRA2/EMILIN1/ZEB1/CAV1/MYOCD/CD109/GREM1/TGFBR3/FBN1/LTBP1/DCN/ASPN/FGFBP1/FOLR1",33
"GO:0006937","GO:0006937","regulation of muscle contraction","24/697","171/18670",2.38503994957236e-08,6.58411322549592e-06,5.42725808958415e-06,"SPHK1/ATP1B1/ACE2/FLNA/MYL9/TNNT1/CNN1/HSPB6/CHGA/TACR2/ATP1A2/CASQ2/KCNMA1/CHRM2/CHRNA3/GUCY1A1/PLN/CACNA1C/CAV1/PPP1R12B/ANXA6/MYOCD/CCN2/TNNC2",24
"GO:0090257","GO:0090257","regulation of muscle system process","30/697","259/18670",4.0422420824577e-08,1.02483288623573e-05,8.44765632334001e-06,"SPHK1/ATP1B1/ACE2/FLNA/MYL9/TNNT1/CNN1/HSPB6/CHGA/TACR2/ATP1A2/CASQ2/ATP2B4/SGCA/HAND2/KCNMA1/FBXO32/CHRM2/CHRNA3/GUCY1A1/PLN/CACNA1C/CAV1/PPP1R12B/ANXA6/MYOCD/PI16/IGFBP5/CCN2/TNNC2",30
"GO:0060349","GO:0060349","bone morphogenesis","19/697","114/18670",4.22469354775242e-08,1.02483288623573e-05,8.44765632334001e-06,"LTBP3/TGFB1/COL6A2/COL6A1/SMPD3/COL1A1/COMP/SFRP2/IHH/SFRP4/CDX1/MATN2/TGFB3/ANXA6/COL14A1/SCARA3/AXIN2/COL6A3/FGFR3",19
"GO:0090101","GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","20/697","126/18670",4.3674957862166e-08,1.02483288623573e-05,8.44765632334001e-06,"PBLD/FSTL3/TGFB1/SOSTDC1/RBPMS2/SFRP2/HTRA3/TGFB1I1/CILP/CHRDL1/SFRP1/TGFB3/EMILIN1/CAV1/CD109/GREM1/TGFBR3/FBN1/LTBP1/ASPN",20
"GO:0050900","GO:0050900","leukocyte migration","45/697","499/18670",4.63265684115401e-08,1.03528850264456e-05,8.53384154949423e-06,"ADTRP/ATP1B1/TGFB1/CCL28/VAV3/C10orf99/ITGA5/CEACAM5/SMPD3/PADI2/COL1A1/IL33/L1CAM/FN1/JCHAIN/CXCL14/CEACAM6/THBS4/CCL21/CHGA/MMP28/S100A7/SAA1/PPBP/JAM3/GYPC/ROR2/SLIT2/EMILIN1/CAV1/ITGAM/GREM1/CXCR4/SELP/CCL20/CXCL12/CCL19/SCG2/ITGB2/COL1A2/PTPRO/CXCL3/CCL5/APOD/SERPINE1",45
"GO:0007586","GO:0007586","digestion","21/697","139/18670",4.89238530187693e-08,1.04363473735038e-05,8.60263922698455e-06,"PLS1/PBLD/FABP1/MOGAT2/SI/FABP2/GUCY2C/TYMP/TFF1/CAPN9/SLC5A1/CAPN8/VSIG1/TFF3/GKN1/GUCA2A/TFF2/MUC2/VIL1/AQP1/CEL",21
"GO:0032964","GO:0032964","collagen biosynthetic process","13/697","53/18670",5.1887717672499e-08,1.05873503929147e-05,8.72711040944778e-06,"PPARG/TGFB1/RCN3/COL1A1/IHH/P3H3/TGFB3/EMILIN1/MYB/VIM/PDGFRB/CCN2/COL5A1",13
"GO:0002576","GO:0002576","platelet degranulation","20/697","128/18670",5.72838333291417e-08,1.12013762422359e-05,9.23324945107876e-06,"TGFB1/FLNA/SELENOP/ISLR/SERPING1/FN1/PPBP/TLN1/ACTN1/STXBP1/TGFB3/VWF/CD109/SELP/TIMP3/A2M/CLU/CFD/F13A1/SERPINE1",20
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","24/697","180/18670",6.50520915967204e-08,1.22115786345364e-05,1.00659552260188e-05,"SULT1B1/NAT2/UGT1A10/CYP2C18/NR1I2/TGFB1/CES3/CYP3A5/UGT2B15/CYP2B6/GSTA1/CMBL/DPEP1/AOC3/CASQ2/FBXO32/CYP1B1/CYP2J2/BCHE/SERPINF1/MGST1/AQP1/GGT1/CYP2W1",24
"GO:0003413","GO:0003413","chondrocyte differentiation involved in endochondral bone morphogenesis","10/697","30/18670",7.52585543036359e-08,1.35841690518063e-05,1.11973759945693e-05,"COL6A2/COL6A1/SMPD3/IHH/MATN2/ANXA6/COL14A1/SCARA3/AXIN2/COL6A3",10
"GO:0060351","GO:0060351","cartilage development involved in endochondral bone morphogenesis","12/697","47/18670",1.04911882429375e-07,1.73443151043474e-05,1.42968492847078e-05,"COL6A2/COL6A1/SMPD3/COL1A1/COMP/IHH/MATN2/ANXA6/COL14A1/SCARA3/AXIN2/COL6A3",12
"GO:0098868","GO:0098868","bone growth","12/697","47/18670",1.04911882429375e-07,1.73443151043474e-05,1.42968492847078e-05,"COL6A2/COL6A1/SMPD3/COMP/MATN2/DDR2/EVC/ANXA6/COL14A1/SCARA3/COL6A3/FGFR3",12
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","28/697","241/18670",1.07177740896245e-07,1.73443151043474e-05,1.42968492847078e-05,"PBLD/FSTL3/TGFB1/SOSTDC1/RBPMS2/SFRP2/HTRA3/LEFTY1/SULF1/SFRP4/TGFB1I1/CILP/CHRDL1/LTBP4/SFRP1/TGFB3/WWTR1/EMILIN1/ZEB1/CAV1/MYOCD/CD109/GREM1/TGFBR3/FBN1/LTBP1/ASPN/FOLR1",28
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","25/697","199/18670",1.13422847284053e-07,1.77431140768021e-05,1.46255776761016e-05,"PBLD/LTBP3/TGFB1/HPGD/HTRA3/LEFTY1/TGFB1I1/LTBP4/TGFB3/FERMT2/EMILIN1/ZEB1/CAV1/MYOCD/CD109/ID1/TGFBR3/FBN1/CLDN5/LTBP1/LTBP2/COL3A1/ASPN/COL1A2/FOLR1",25
"GO:0002063","GO:0002063","chondrocyte development","12/697","48/18670",1.35171231823437e-07,2.04631803531416e-05,1.68677173837396e-05,"COL6A2/COL6A1/SMPD3/COMP/SFRP2/SULF1/COL11A1/MATN2/COL14A1/SCARA3/AXIN2/COL6A3",12
"GO:0006805","GO:0006805","xenobiotic metabolic process","19/697","125/18670",1.91865241672638e-07,2.81382368490528e-05,2.31942356298337e-05,"SULT1B1/NAT2/UGT1A10/CYP2C18/NR1I2/CES3/CYP3A5/UGT2B15/CYP2B6/GSTA1/CMBL/DPEP1/AOC3/CYP1B1/CYP2J2/BCHE/MGST1/GGT1/CYP2W1",19
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","28/697","249/18670",2.13066094625351e-07,3.03005812750537e-05,2.49766474560818e-05,"PBLD/LTBP3/TGFB1/COL1A1/HPGD/HTRA3/LEFTY1/TGFB1I1/CILP/LTBP4/SFRP1/TGFB3/FERMT2/EMILIN1/ZEB1/CAV1/MYOCD/CD109/ID1/TGFBR3/FBN1/CLDN5/LTBP1/LTBP2/COL3A1/ASPN/COL1A2/FOLR1",28
"GO:0048771","GO:0048771","tissue remodeling","23/697","179/18670",2.41023734704576e-07,3.32683643226052e-05,2.74229791033845e-05,"LTBP3/TGFB1/CA2/BGN/IHH/THBS4/SPP1/PDK4/CLDN18/HAND2/SFRP1/CSPG4/CARTPT/RSPO3/TGFB3/AXL/CAV1/GREM1/CSF1R/IGFBP5/MMP2/GPNMB/CTHRC1",23
"GO:0071559","GO:0071559","response to transforming growth factor beta","28/697","255/18670",3.49172285712213e-07,4.68190153384975e-05,3.85927263155603e-05,"PBLD/LTBP3/TGFB1/COL1A1/HPGD/HTRA3/LEFTY1/TGFB1I1/CILP/LTBP4/SFRP1/TGFB3/FERMT2/EMILIN1/ZEB1/CAV1/MYOCD/CD109/ID1/TGFBR3/FBN1/CLDN5/LTBP1/LTBP2/COL3A1/ASPN/COL1A2/FOLR1",28
"GO:0051271","GO:0051271","negative regulation of cellular component movement","36/697","384/18670",4.11688723585468e-07,5.36681994385167e-05,4.42384812624735e-05,"PBLD/PPARG/ADTRP/TGFB1/CCL28/PADI2/PTPRU/APOE/IL33/SFRP2/FBLN1/SULF1/CCL21/MMP28/DPEP1/ACTN1/CYP1B1/SFRP1/SLIT2/MEOX2/PODN/EMILIN1/DPYSL3/MYOCD/GREM1/TGFBR3/SERPINF1/IGFBP5/CXCL12/DCN/DACH1/COL3A1/PTPRO/BST2/APOD/SERPINE1",36
"GO:0003416","GO:0003416","endochondral bone growth","11/697","44/18670",4.51751037179638e-07,5.7299124796866e-05,4.72314384533476e-05,"COL6A2/COL6A1/COMP/MATN2/DDR2/EVC/ANXA6/COL14A1/SCARA3/COL6A3/FGFR3",11
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","25/697","215/18670",5.04677513150415e-07,6.23276728740763e-05,5.13764504384425e-05,"LGALS1/CCL28/OLFM4/ITGA5/FLNA/COL1A1/FBLN2/AGR2/FN1/SPOCK1/CEACAM6/FBLN1/CCL21/DDR2/CCDC80/SFRP1/ABI3BP/MYOC/MYADM/EMILIN1/LIMS2/COL8A1/PTPRO/APOD/SERPINE1",25
"GO:0060348","GO:0060348","bone development","25/697","217/18670",6.01270437808225e-07,7.21807360355037e-05,5.94982908319167e-05,"LTBP3/TGFB1/FAM20C/COL6A2/COL6A1/SMPD3/COL1A1/COMP/SFRP2/IHH/SULF1/SFRP4/CDX1/MATN2/CLDN18/TGFB3/MYOC/ANXA6/COL14A1/GREM1/SCARA3/FBN1/AXIN2/COL6A3/FGFR3",25
"GO:0042445","GO:0042445","hormone metabolic process","26/697","232/18670",6.15220422207574e-07,7.21807360355037e-05,5.94982908319167e-05,"SULT1B1/AKR1B10/UGT2B7/CYP2C18/IYD/DUOX2/ADH6/SLC44A4/CYP3A5/ACE2/ADH4/ADH1C/HSD11B2/DUOXA2/DHRS9/AKR1C3/SULT1E1/CRABP2/SPP1/PCSK1N/ADH1B/SDR16C5/GAL/CACNA1H/FGFR1/CYP1B1",26
"GO:2000146","GO:2000146","negative regulation of cell motility","33/697","349/18670",1.03261206339357e-06,0.00011819630276844,9.74287376886105e-05,"PBLD/PPARG/ADTRP/TGFB1/CCL28/PADI2/PTPRU/APOE/IL33/SFRP2/FBLN1/SULF1/CCL21/MMP28/DPEP1/CYP1B1/SFRP1/SLIT2/MEOX2/PODN/EMILIN1/DPYSL3/MYOCD/GREM1/SERPINF1/IGFBP5/CXCL12/DCN/DACH1/COL3A1/BST2/APOD/SERPINE1",33
"GO:0030336","GO:0030336","negative regulation of cell migration","32/697","334/18670",1.12930777678332e-06,0.000126186699915337,0.000104015189966885,"PBLD/PPARG/ADTRP/TGFB1/CCL28/PADI2/PTPRU/APOE/IL33/SFRP2/SULF1/CCL21/MMP28/DPEP1/CYP1B1/SFRP1/SLIT2/MEOX2/PODN/EMILIN1/DPYSL3/MYOCD/GREM1/SERPINF1/IGFBP5/CXCL12/DCN/DACH1/COL3A1/BST2/APOD/SERPINE1",32
"GO:0001649","GO:0001649","osteoblast differentiation","25/697","225/18670",1.18343358314889e-06,0.000127496687256539,0.000105095007271251,"FAM20C/COL6A1/COL1A1/SFRP2/TNC/IHH/SPP1/PDLIM7/HAND2/DDR2/SFRP1/MYOC/WWTR1/TWIST2/ID1/SOX8/SATB2/GREM1/MRC2/AXIN2/IGFBP5/CEBPA/AREG/GPNMB/CTHRC1",25
"GO:0042692","GO:0042692","muscle cell differentiation","35/697","385/18670",1.22085192413473e-06,0.000127496687256539,0.000105095007271251,"XK/TGFB1/OBSL1/CEACAM5/CAPN9/UCHL1/COMP/RBPMS2/FLNC/TNNT1/MYH11/BHLHE41/TMOD1/CACNA1H/BOC/NFATC1/SPEG/EHD2/PLEKHO1/POPDC2/LDB3/CASQ2/LMOD1/CSRP1/CFL2/ZEB1/PGM5/MYOCD/PI16/MYH10/GREM1/SMYD1/PDGFRB/IGFBP5/EREG",35
"GO:0002685","GO:0002685","regulation of leukocyte migration","23/697","196/18670",1.22253375805333e-06,0.000127496687256539,0.000105095007271251,"ADTRP/TGFB1/CCL28/C10orf99/SMPD3/PADI2/IL33/CXCL14/THBS4/CCL21/MMP28/S100A7/JAM3/SLIT2/EMILIN1/GREM1/SELP/CCL20/CXCL12/CCL19/CCL5/APOD/SERPINE1",23
"GO:0002686","GO:0002686","negative regulation of leukocyte migration","11/697","49/18670",1.44776645293401e-06,0.000147703651383028,0.00012175152664834,"ADTRP/CCL28/PADI2/IL33/CCL21/MMP28/SLIT2/EMILIN1/GREM1/CXCL12/APOD",11
"GO:0034330","GO:0034330","cell junction organization","29/697","290/18670",1.51533757648135e-06,0.000151308069072914,0.000124722633674557,"POF1B/NLGN2/TGFB1/ACE2/ITGA5/FLNA/FSCN1/CDH17/COL17A1/FN1/FLNC/TNS1/CNTNAP1/TLN1/ACTN1/CADM3/SFRP1/HEG1/TGFB3/MYOC/FERMT2/CAV1/LIMS2/CSF1R/CLDN5/SORBS1/PTPRO/GJB1/APOD",29
"GO:0009410","GO:0009410","response to xenobiotic stimulus","29/697","292/18670",1.74159276367954e-06,0.000170276975832252,0.000140358627336016,"SULT1B1/NAT2/UGT1A10/PRKACB/PPARG/CYP2C18/NR1I2/TGFB1/CES3/CYP3A5/UGT2B15/CYP2B6/GSTA1/CMBL/PPP1R1B/DPEP1/AOC3/GNAO1/CASQ2/FBXO32/CYP1B1/CYP2J2/BCHE/CXCR4/SERPINF1/MGST1/AQP1/GGT1/CYP2W1",29
"GO:0051146","GO:0051146","striated muscle cell differentiation","29/697","293/18670",1.86603668034187e-06,0.000178720615119274,0.000147318685290148,"XK/TGFB1/OBSL1/CEACAM5/CAPN9/UCHL1/COMP/FLNC/TNNT1/MYH11/BHLHE41/TMOD1/CACNA1H/EHD2/PLEKHO1/POPDC2/LDB3/CASQ2/LMOD1/CSRP1/CFL2/PGM5/MYOCD/PI16/MYH10/GREM1/SMYD1/PDGFRB/IGFBP5",29
"GO:0042476","GO:0042476","odontogenesis","18/697","132/18670",2.04387033384981e-06,0.000191837669535143,0.000158131020566275,"TGFB1/FAM20C/CA2/SMPD3/COL1A1/SOSTDC1/TNC/ODAM/NFIC/GNAO1/HAND2/TGFB3/AXIN2/AQP1/ASPN/COL1A2/LRP4/SERPINE1",18
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","17/697","121/18670",2.57809273000359e-06,0.000236896422610097,0.000195272769767314,"CCL28/OLFM4/ITGA5/FLNA/FBLN2/AGR2/FN1/CEACAM6/CCL21/CCDC80/SFRP1/ABI3BP/MYOC/MYADM/EMILIN1/LIMS2/COL8A1",17
"GO:0030239","GO:0030239","myofibril assembly","13/697","73/18670",2.6753697844311e-06,0.000236896422610097,0.000195272769767314,"OBSL1/CAPN9/TNNT1/MYH11/TMOD1/LDB3/CASQ2/LMOD1/CSRP1/CFL2/PGM5/MYH10/PDGFRB",13
"GO:0060350","GO:0060350","endochondral bone morphogenesis","13/697","73/18670",2.6753697844311e-06,0.000236896422610097,0.000195272769767314,"COL6A2/COL6A1/SMPD3/COL1A1/COMP/IHH/MATN2/ANXA6/COL14A1/SCARA3/AXIN2/COL6A3/FGFR3",13
"GO:0006939","GO:0006939","smooth muscle contraction","16/697","110/18670",3.18760872104143e-06,0.000277026809774953,0.000228352086741272,"SPHK1/COMP/CNN1/SULF1/MYH11/TACR2/ATP1A2/ATP2B4/KCNMA1/CHRM2/CHRNA3/MYLK/ACTA2/GUCY1A1/CAV1/MYOCD",16
"GO:1901654","GO:1901654","response to ketone","22/697","193/18670",3.36608252478527e-06,0.000287218641614859,0.000236753172795902,"PPARG/CFTR/TGFB1/AKR1C3/TNC/SPP1/CCL21/SLIT3/FBXO32/SFRP1/SLIT2/TGFB3/PLN/CAV1/ADCY5/KLF9/TGFBR3/SERPINF1/CCL19/KLF2/AQP1/MAOB",22
"GO:0035690","GO:0035690","cellular response to drug","33/697","369/18670",3.50130300756809e-06,0.000293421696687804,0.00024186632618069,"SPHK1/CFTR/FABP1/TGFB1/SMPD3/DDC/LCN2/LY6G6D/DPEP1/CASQ2/KCNMB1/ATP2B4/FBXO32/CHRM2/CYP1B1/CHRNA3/SFRP1/SLIT2/AXL/ADCY5/LDOC1/MYB/KLF9/ID1/CXCR4/VIM/SERPINF1/KLF2/AQP1/FOLR2/PPP1R14A/KCNH2/FOLR1",33
"GO:0030595","GO:0030595","leukocyte chemotaxis","24/697","224/18670",3.66276502859656e-06,0.000301567654021116,0.000248581006095888,"VAV3/C10orf99/PADI2/CXCL14/THBS4/CCL21/CHGA/MMP28/S100A7/SAA1/PPBP/JAM3/SLIT2/GREM1/CXCR4/CCL20/CXCL12/CCL19/SCG2/ITGB2/PTPRO/CXCL3/CCL5/SERPINE1",24
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","23/697","210/18670",4.0150739478244e-06,0.000324874862709309,0.000267793044614422,"NXN/PTPRU/APOE/SOSTDC1/SFRP2/SFRP4/NKD2/NOTUM/NFATC1/DACT3/RNF43/ROR2/SFRP1/WWTR1/CAV1/GREM1/TRABD2A/IGFBP6/AXIN2/PTPRO/BARX1/LRP4/CTHRC1",23
"GO:0022600","GO:0022600","digestive system process","15/697","100/18670",4.36514046199712e-06,0.00034721363030767,0.000286206801031926,"PLS1/PBLD/FABP1/MOGAT2/FABP2/TYMP/TFF1/SLC5A1/VSIG1/TFF3/TFF2/MUC2/VIL1/AQP1/CEL",15
"GO:0007517","GO:0007517","muscle organ development","35/697","410/18670",5.05175393255841e-06,0.000394422786924696,0.000325121119236547,"XK/TGFB1/OBSL1/TAGLN/COL11A1/CACNA1H/FGFR1/ITGA7/MRAS/SPEG/JPH2/POPDC2/SGCA/FHL1/MYLK/MEOX2/ASB2/CFL2/HEG1/CRYAB/EVC/CAV1/SVIL/HEYL/MYOCD/PI16/SOX8/GREM1/TGFBR3/SMYD1/CTF1/COL6A3/DCN/COL3A1/ELN",35
"GO:0030282","GO:0030282","bone mineralization","16/697","114/18670",5.12673982578446e-06,0.000394422786924696,0.000325121119236547,"LTBP3/TGFB1/FAM20C/SMPD3/COMP/ROR2/DDR2/TGFB3/MGP/GREM1/OMD/AXIN2/FGFR3/ASPN/COL1A2/GPNMB",16
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","16/697","115/18670",5.75267834787759e-06,0.000421621437254983,0.000347540857472397,"OBSL1/CAPN9/TNNT1/IHH/MYH11/CNTNAP1/TMOD1/LDB3/CASQ2/LMOD1/CSRP1/CFL2/PMP22/PGM5/MYH10/PDGFRB",16
"GO:0071772","GO:0071772","response to BMP","20/697","170/18670",5.75898614917375e-06,0.000421621437254983,0.000347540857472397,"FSTL3/SMPD3/SOSTDC1/COMP/RBPMS2/SFRP2/HTRA3/TDGF1/SLC39A5/SULF1/SFRP4/RGMA/CHRDL1/ROR2/SFRP1/HEYL/ID1/GREM1/TGFBR3/FBN1",20
