"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTSE",-1.134,4.857,-6.411,0,0,13.119
"LARGE2",0.6,4.769,6.307,0,0,12.494
"NKD2",0.644,3.821,6.29,0,0,12.391
"REG4",-1.398,5.964,-6.219,0,0,11.974
"MAGEA4",0.603,0.645,6.14,0,0,11.511
"B3GALT5",-0.591,2.23,-6.125,0,0,11.425
"HMGCS2",-1.05,5.958,-6.1,0,0,11.276
"C7",-0.707,2.226,-6.014,0,0,10.781
"MLPH",-0.594,4.162,-5.897,0,0,10.122
"UGT2A3",-0.773,2.4,-5.887,0,0,10.063
"ANXA10",-0.73,2.036,-5.818,0,0,9.677
"ALDOB",-0.871,4.106,-5.804,0,0,9.604
"VSIG2",-0.908,4.685,-5.798,0,0,9.568
"VSIG1",-0.639,1.874,-5.69,0,0,8.978
"JCHAIN",-0.973,7.53,-5.657,0,0,8.801
"OGN",-0.623,1.85,-5.652,0,0,8.772
"B3GNT6",-0.794,2.267,-5.601,0,0,8.5
"PLAC8",-0.654,4.332,-5.592,0,0,8.452
"MAGEA12",0.655,0.98,5.529,0,0,8.115
"ASCL2",0.717,6.329,5.52,0,0,8.071
"GNG4",0.718,3.069,5.471,0,0,7.809
"TFF2",-0.992,3.933,-5.448,0,0,7.691
"S100P",-0.591,8.393,-5.343,0,0,7.15
"LYZ",-0.744,8.977,-5.331,0,0,7.089
"S100A7",0.706,1.203,5.319,0,0,7.025
"SYNPO2",-0.63,2.987,-5.283,0,0,6.845
"CSAG1",0.653,1.114,5.266,0,0,6.755
"GABRP",-0.682,2.26,-5.234,0,0,6.597
"ADH1C",-0.821,4.203,-5.228,0,0,6.567
"SAA1",0.804,4.189,5.137,0,0,6.114
"SDR16C5",-0.603,3.109,-5.096,0,0,5.912
"SI",-0.633,1.983,-4.954,0,0,5.227
"HEPACAM2",-0.68,2.667,-4.924,0,0,5.086
"LY6G6F-LY6G6D",0.639,2.445,4.918,0,0,5.056
"MAGEA3",0.734,1.381,4.913,0,0,5.035
"CAPN6",-0.63,2.676,-4.854,0,0,4.756
"MUC5AC",-0.746,2.5,-4.844,0,0,4.707
"SFTA2",0.603,3.215,4.664,0,0,3.882
"KRT23",0.766,4.215,4.633,0,0,3.744
"LY6G6D",0.688,2.968,4.568,0,0,3.458
"MAGEA6",0.62,1.198,4.489,0,0,3.114
"MSMB",-0.598,1.765,-4.475,0,0,3.051
"GAL",0.597,3.643,4.454,0,0,2.959
"GKN1",-0.633,1.379,-4.443,0,0,2.912
"SPINK4",-0.96,5.508,-4.434,0,0,2.876
"PCSK1N",0.676,2.814,4.398,0,0,2.721
"PIGR",-0.926,8.772,-4.286,0,0,2.252
"NOTUM",0.752,3.529,4.25,0,0,2.1
"MYH11",-0.621,4.661,-4.103,0,0,1.509
"PPBP",0.616,1.998,4.096,0,0,1.479
"DPEP1",0.644,5.769,4.058,0,0,1.33
"MUC2",-0.786,4.763,-4.01,0,0,1.142
"CLDN18",-0.626,2.955,-3.997,0,0,1.091
"TCN1",-0.665,3.503,-3.966,0,0,0.969
"CLCA1",-0.711,3.337,-3.62,0,0.001,-0.305
"ITLN1",-0.719,4.123,-3.472,0.001,0.002,-0.817
"DES",-0.645,5.833,-3.236,0.001,0.004,-1.587
